,global_id,Number,Cells
0,2449491972,1,"{'StationStart': 'Киевский вокзал', 'Line': 'Во Внуково', 'TimeStart': '06:00', 'StationEnd': 'Аэропорт Внуково', 'TimeEnd': '06:36', 'global_id': 2449491972}"
1,2449491974,2,"{'StationStart': 'Киевский вокзал', 'Line': 'Во Внуково', 'TimeStart': '08:00', 'StationEnd': 'Аэропорт Внуково', 'TimeEnd': '08:39', 'global_id': 2449491974}"
2,2449491975,3,"{'StationStart': 'Киевский вокзал', 'Line': 'Во Внуково', 'TimeStart': '09:00', 'StationEnd': 'Аэропорт Внуково', 'TimeEnd': '09:39', 'global_id': 2449491975}"
3,2449491976,4,"{'StationStart': 'Киевский вокзал', 'Line': 'Во Внуково', 'TimeStart': '10:00', 'StationEnd': 'Аэропорт Внуково', 'TimeEnd': '10:38', 'global_id': 2449491976}"
4,2449491977,5,"{'StationStart': 'Киевский вокзал', 'Line': 'Во Внуково', 'TimeStart': '11:00', 'StationEnd': 'Аэропорт Внуково', 'TimeEnd': '11:38', 'global_id': 2449491977}"
5,2449491978,6,"{'StationStart': 'Киевский вокзал', 'Line': 'Во Внуково', 'TimeStart': '12:00', 'StationEnd': 'Аэропорт Внуково', 'TimeEnd': '12:38', 'global_id': 2449491978}"
6,2449492014,7,"{'StationStart': 'Киевский вокзал', 'Line': 'Во Внуково', 'TimeStart': '07:00', 'StationEnd': 'Аэропорт Внуково', 'TimeEnd': '07:37', 'global_id': 2449492014}"
7,2449492023,8,"{'StationStart': 'Киевский вокзал', 'Line': 'Во Внуково', 'TimeStart': '13:00', 'StationEnd': 'Аэропорт Внуково', 'TimeEnd': '13:40', 'global_id': 2449492023}"
8,2449492102,9,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '06:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '06:47', 'global_id': 2449492102}"
9,2449492104,10,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '06:30', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '07:18', 'global_id': 2449492104}"
10,2449492111,11,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '08:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '08:48', 'global_id': 2449492111}"
11,2449492117,12,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '09:30', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '10:18', 'global_id': 2449492117}"
12,2449492119,13,"{'StationStart': 'Павелецкий вокзал', 'Line': 'В Домодедово', 'TimeStart': '10:00', 'StationEnd': 'Аэропорт Домодедово', 'TimeEnd': '10:48', 'global_id': 2449492119}"
